,Unnamed: 0,Character,Gender,Alive?,Title,Forename,Surname,Old Surname,Alias,Character_clean
77,1007,alyce,F,A,,alyce,,,,alyce
78,924,alyce graceford,F,A,Lady,alyce,graceford,,,alyce graceford
79,85,alyn,M,D,,alyn,,,guard at winterfell,alyn
80,1168,alyn,M,D,,alyn,,,red alyn of the rosewood,alyn
81,1812,alyn,M,A,,alyn,,,sour alyn,alyn
82,2337,alyn,M,H,,alyn,,,of hull,alyn
83,975,alyn ambrose,M,A,,alyn,ambrose,,,alyn ambrose
84,2096,alyn blackwood,M,A,,alyn,blackwood,,,alyn blackwood
85,2233,alyn cockshaw,M,H,Lord,alyn,cockshaw,,,alyn cockshaw
86,732,alyn estermont,M,A,Ser,alyn,estermont,,,alyn estermont
87,828,alyn frey,M,A,,alyn,frey,,,alyn frey
88,811,alyn haigh,M,A,,alyn,haigh,,,alyn haigh
89,1449,alyn hunt,M,A,Ser,alyn,hunt,,,alyn hunt
90,1247,alyn orkwood,M,A,Lord,alyn,orkwood,,orkwood of orkmont,alyn orkwood
91,611,alyn stackspear,M,A,Ser,alyn,stackspear,,,alyn stackspear
92,1390,alyn velaryon,M,D,Lord,alyn,velaryon,,oakenfist,alyn velaryon
93,2035,alynne connington,F,A,,alynne,connington,,,alynne connington
94,1307,alys beesbury,F,A,Lady,alys,beesbury,,,alys beesbury
95,813,alys frey,F,D,,alys,frey,,,alys frey
96,1082,alys karstark,F,A,,alys,karstark,,,alys karstark
97,2360,alys rivers,M,H,,alys,rivers,,,alys rivers
98,1653,alys waynwood,F,D,,alys,waynwood,arryn,,alys waynwood
99,1945,alysane mormont,F,A,,alysane,mormont,,,alysane mormont
100,1716,alysanne ambrose,F,A,Lady,alysanne,ambrose,hightower,,alysanne ambrose
101,2102,alysanne bracken,F,A,,alysanne,bracken,,,alysanne bracken
102,925,alysanne bulwer,F,A,Lady,alysanne,bulwer,,,alysanne bulwer
103,2084,alysanne lefford,F,A,Lady,alysanne,lefford,,,alysanne lefford
104,2183,alysanne osgrey,F,H,,alysanne,osgrey,,,alysanne osgrey
105,1109,alysanne targaryen,F,D,Queen,alysanne,targaryen,,good queen alysanne,alysanne targaryen
106,1578,alysanne tarth,F,D,,alysanne,tarth,,,alysanne tarth
107,1445,alyse ladybright,F,A,Lady,alyse,ladybright,,,alyse ladybright
108,222,alyssa arryn,F,D,,alyssa,arryn,,,alyssa arryn
109,858,alyssa frey,F,D,Lady,alyssa,frey,blackwood,,alyssa frey
110,838,alyx frey,F,A,,alyx,frey,,,alyx frey
111,822,amarei frey,F,D,Lady,amarei,frey,crakehall,,amarei frey
112,1147,ambrose butterwell,M,D,Lord,ambrose,butterwell,,,ambrose butterwell
113,2203,ambrose butterwell,M,H,Lord,ambrose,butterwell,,,ambrose butterwell
114,843,amerei frey,F,A,,amerei,frey,,gatehouse ami,amerei frey
115,343,amory lorch,M,D,Ser,amory,lorch,,,amory lorch
116,1139,andahar,M,D,King,andahar,,,old king andahar,andahar
117,164,andar royce,M,A,Ser,andar,royce,,,andar royce
118,1099,anders yronwood,M,A,Lord,anders,yronwood,,,anders yronwood
119,737,andrew estermont,M,A,Ser,andrew,estermont,,,andrew estermont
120,1047,andrey charlton,M,D,Ser,andrey,charlton,,,andrey charlton
121,1512,andrey dalt,M,A,Ser,andrey,dalt,,,andrey dalt
122,638,andrik,M,A,,andrik,,,the unsmiling,andrik
123,340,andros brax,M,D,Lord,andros,brax,,,andros brax
124,2152,androw ashford,M,H,,androw,ashford,,,androw ashford
125,827,androw frey,M,A,,androw,frey,,,androw frey
126,179,anguy,M,U,,anguy,,,,anguy
127,885,annara frey,F,D,Lady,annara,frey,farring,,annara frey
128,624,antario jast,M,A,Lord,antario,jast,,,antario jast
129,215,anya waynwood,F,A,Lady,anya,waynwood,,,anya waynwood
130,1768,archibald yronwood,M,A,Ser,archibald,yronwood,,arch/the big man,archibald yronwood
131,1732,archmaester agrivane,M,A,Archmaester,agrivane,,,,archmaester agrivane
132,1329,archmaester benedict,M,A,Archmaester,benedict,,,,archmaester benedict
133,1723,archmaester castos,M,A,Archmaester,castos,,,,archmaester castos
134,1727,archmaester cetheres,M,A,Archmaester,cetheres,,,,archmaester cetheres
135,1327,archmaester ebrose,M,A,Archmaester,ebrose,,,,archmaester ebrose
136,1722,archmaester gallard,M,A,Archmaester,gallard,,,,archmaester gallard
137,1725,archmaester garizon,M,A,Archmaester,garizon,,,,archmaester garizon
138,1731,archmaester guyne,M,A,Archmaester,guyne,,,,archmaester guyne
139,2278,archmaester gyldayn,M,H,Archmaester,gyldayn,,,,archmaester gyldayn
140,1420,archmaester haereg,M,D,Archmaester,haereg,,,,archmaester haereg
141,1730,archmaester harodon,M,A,Archmaester,harodon,,,,archmaester harodon
142,312,archmaester marwyn,M,A,Archmaester,marwyn,,,marwyn the mage,archmaester marwyn
143,1729,archmaester mollos,M,A,Archmaester,mollos,,,,archmaester mollos
144,1668,archmaester norren,M,A,Archmaester,norren,,,,archmaester norren
145,1726,archmaester nymos,M,A,Archmaester,nymos,,,,archmaester nymos
146,1733,archmaester ocley,M,A,Archmaester,ocley,,,,archmaester ocley
147,1331,archmaester perestan,M,A,Archmaester,perestan,,,,archmaester perestan
148,1421,archmaester rigney,M,A,Archmaester,rigney,,,,archmaester rigney
149,1333,archmaester ryam,M,A,Archmaester,ryam,,,,archmaester ryam
150,1667,archmaester theobald,M,A,Archmaester,theobald,,,the seneschal,archmaester theobald
151,1330,archmaester vaellyn,M,A,Archmaester,vaellyn,,,vinegar vaellyn,archmaester vaellyn
152,1328,archmaester walgrave,M,A,Archmaester,walgrave,,,,archmaester walgrave
153,1728,archmaester willifer,M,A,Archmaester,willifer,,,,archmaester willifer
154,1724,archmaester zarabelo,M,A,Archmaester,zarabelo,,,,archmaester zarabelo
155,444,ardrian celtigar,M,A,Lord,ardrian,celtigar,,,ardrian celtigar
156,347,argilac durrandon,M,D,King,argilac,durrandon,,the arrogant,argilac durrandon
157,2268,argrave,M,H,Ser,argrave,,,the defiant,argrave
158,412,arianne martell,F,A,Princess,arianne,martell,,,arianne martell
159,1579,arianne tarth,F,D,,arianne,tarth,,,arianne tarth
160,2126,arlan,M,H,Ser,arlan,,,of pennytree,arlan
161,1326,armen,M,A,,armen,,,the acolyte,armen
162,2243,armond caswell,M,H,Lord,armond,caswell,,,armond caswell
163,2032,armond connington,M,D,Lord,armond,connington,,,armond connington
164,688,arneld,M,U,Ser,arneld,,,,arneld
165,490,arnell,M,U,Ser,arnell,,,,arnell
166,1759,arnolf karstark,M,A,,arnolf,karstark,,,arnolf karstark
167,102,aron santagar,M,D,Ser,aron,santagar,,,aron santagar
168,370,arrec durrandon,M,D,King,arrec,durrandon,,the storm king,arrec durrandon
169,1198,arron,M,A,,arron,,,,arron
170,1093,arron qorgyle,M,A,Ser,arron,qorgyle,,,arron qorgyle
171,917,arryk,M,A,,arryk,,,left/right,arryk
172,66,arryk cargyll,M,D,Ser,arryk,cargyll,,,arryk cargyll
173,2155,arryn,M,H,Lord,?,arryn,,at ashford,arryn
174,997,arson,M,D,,arson,,,iceaxe,arson
175,2079,arstan selmy,M,A,Lord,arstan,selmy,,,arstan selmy
176,2043,arthor karstark,M,A,,arthor,karstark,,,arthor karstark
177,976,arthur ambrose,M,A,Lord,arthur,ambrose,,,arthur ambrose
178,56,arthur dayne,M,D,Ser,arthur,dayne,,sword of the morning,arthur dayne
179,1960,artos flint,M,A,,artos,flint,,,artos flint
180,715,artos stark,M,D,,artos,stark,,the implacable,artos stark
181,1645,artys arryn,M,D,Ser,artys,arryn,,the winged knight,artys arryn
182,824,arwood frey,M,A,Ser,arwood,frey,,,arwood frey
183,886,arwyn frey,F,A,,arwyn,frey,,,arwyn frey
184,393,arwyn oakheart,F,A,Lady,arwyn,oakheart,,,arwyn oakheart
185,19,arya stark,F,A,,arya,stark,,,arya stark
186,241,arys oakheart,M,D,Ser,arys,oakheart,,,arys oakheart
187,1934,ash,?,A,,ash,,,,ash
188,403,asha greyjoy,F,A,,asha,greyjoy,,,asha greyjoy
189,57,ashara dayne,F,D,Lady,ashara,dayne,,,ashara dayne
190,2133,ashford,M,H,Lord,?,ashford,,,ashford
191,2140,ashford,F,H,Lady,?,ashford,,,ashford
192,1605,assadora,F,A,,assadora,,,,assadora
193,2224,aubrey ambrose,M,H,Ser,aubrey,ambrose,,,aubrey ambrose
194,704,aurane waters,M,A,,aurane,waters,,bastard of driftmark,aurane waters
195,447,axell florent,M,A,Ser,axell,florent,,,axell florent
196,78,ayrmidon,M,D,,ayrmidon,,,,ayrmidon
197,506,azor ahai,M,F,,azor ahai,,,,azor ahai
198,2060,azzak,?,A,,azzak,,,,azzak
199,582,bael,M,F,King,bael,,,the bard,bael
200,2316,baela targaryen,F,H,Lady,baela,targaryen,,,baela targaryen
201,2290,baelon targaryen,M,H,Prince,baelon,targaryen,,son of jaehaerys i,baelon targaryen
202,2414,baelon targaryen,M,H,Prince,baelon,targaryen,,son of viserys i,baelon targaryen
203,770,baelor blacktyde,M,D,Lord,baelor,blacktyde,,,baelor blacktyde
204,1222,baelor hightower,M,A,,baelor,hightower,,"breakwind, brightsmile",baelor hightower
205,87,baelor i targaryen,M,D,King,baelor,targaryen,,the blessed,baelor i targaryen
206,1150,baelor targaryen,M,D,,baelor,targaryen,,breakspear,baelor targaryen
207,1853,balaq,M,A,,balaq,,,black balaq,balaq
208,1386,balman byrch,M,D,Ser,balman,byrch,,,balman byrch
209,1688,balon botley,M,A,,balon,botley,,,balon botley
210,2376,balon byrch,M,H,Ser,balon,byrch,,,balon byrch
211,46,balon greyjoy,M,D,Lord,balon,greyjoy,,,balon greyjoy
212,162,balon swann,M,A,Ser,balon,swann,,,balon swann
213,1248,balon tawney,M,A,Lord,balon,tawney,,,balon tawney
214,467,bandy,F,A,,bandy,,,,bandy
215,904,bannen,M,D,,bannen,,,,bannen
216,1864,baqq,M,A,,baqq,,,beans,baqq
217,2299,bar emmon,M,H,Lord,?,bar emmon,,of the blacks,bar emmon
218,2150,baratheon,M,H,Lord,?,baratheon,,,baratheon
219,1987,barba bracken,F,D,Lady,barba,bracken,,,barba bracken
220,2098,barbara bracken,F,A,,barbara,bracken,,,barbara bracken
221,1927,barbrey dustin,F,A,Lady,barbrey,dustin,ryswell,,barbrey dustin
222,199,barra,F,D,,barra,,,,barra
223,68,barristan selmy,M,A,Ser,barristan,selmy,,,barristan selmy
224,1802,barsena,F,D,,barsena,,,barsena blackhair,barsena
225,720,barth stark,M,D,Lord,barth,stark,,,barth stark
226,2301,bartimos celtigar,M,H,Lord,bartimos,celtigar,,,bartimos celtigar
227,1914,bartimus,M,A,Ser,bartimus,,,,bartimus
228,266,bass,M,U,,bass,,,,bass
229,1558,bayard norcross,M,A,Ser,bayard,norcross,,,bayard norcross
230,2387,bean,M,H,,bean,,,,bean
231,1062,becca,F,D,,becca,,,the baker,becca
232,526,bedwyck,M,A,,bedwyck,,,giant,bedwyck
233,1639,belandra,F,A,,belandra,,,,belandra
234,1807,belaquo,M,A,,belaquo,,,belaquo bonebreaker,belaquo
235,958,beldecar,M,D,,beldecar,,,,beldecar
236,1075,belgrave,M,D,Lord,?,belgrave,,,belgrave
237,1907,belicho staegone,M,A,,belicho,staegone,,,belicho staegone
238,1014,bella,F,A,,bella,,,,bella
239,1609,bellegere otherys,F,A,,bellegere,otherys,,the black pearl,bellegere otherys
240,1611,bellegere otherys,F,D,,bellegere,otherys,,"the black pearl, aegon iv's mistress",bellegere otherys
241,823,bellena frey,F,A,,bellena,frey,hawick,,bellena frey
242,1610,bellonara otherys,F,A,,bellonara,otherys,,,bellonara otherys
243,691,belwas,M,A,,belwas,,,strong belwas,belwas
244,670,ben,M,A,,ben,,,blackthumb,ben
245,990,ben,M,D,,ben,,,big belly ben,ben
246,1632,ben,M,A,,ben,,,"ben big mouth, orphan",ben
247,1790,ben,M,A,,ben,,,bearded ben,ben
248,1809,ben,M,A,,ben,,,ben bones,ben
249,1641,ben beesbury,M,D,,ben,beesbury,,,ben beesbury
250,1450,ben bushy,M,D,Ser,ben,bushy,,big ben,ben bushy
251,1180,ben plumm,M,A,,ben,plumm,,brown ben plumm,ben plumm
252,1405,benedar belmore,M,A,Lord,benedar,belmore,,,benedar belmore
253,1257,benedict broom,M,A,Ser,benedict,broom,,,benedict broom
254,1841,benerro,M,A,,benerro,,,,benerro
255,1970,benethon scales,M,A,Ser,benethon,scales,,,benethon scales
256,545,benfred tallhart,M,D,,benfred,tallhart,,,benfred tallhart
257,879,benfrey frey,M,D,Ser,benfrey,frey,,,benfrey frey
258,28,benjen stark,M,U,,benjen,stark,,,benjen stark
259,728,benjen stark,M,D,King,benjen,stark,,the sweet,benjen stark
260,729,benjen stark,M,D,King,benjen,stark,,the bitter,benjen stark
261,1990,benjicot blackwood,M,D,,benjicot,blackwood,,bloody ben blackwood,benjicot blackwood
262,2355,benjicot blackwood,M,H,Lord,benjicot,blackwood,,ben,benjicot blackwood
263,1964,benjicot branch,M,A,,benjicot,branch,,,benjicot branch
264,1738,bennard brune,M,A,Ser,bennard,brune,,,bennard brune
265,1687,bennarion botley,M,A,,bennarion,botley,,,bennarion botley
266,2168,bennis,M,H,Ser,bennis,,,of the brown shield,bennis
267,852,beony frey,F,A,,beony,frey,beesbury,,beony frey
268,1589,beqqo,M,A,,beqqo,,,blind beqqo,beqqo
269,546,beren tallhart,M,A,,beren,tallhart,,,beren tallhart
270,742,berena tallhart,F,A,,berena,tallhart,hornwood,,berena tallhart
271,149,beric dondarrion,M,D,Lord,beric,dondarrion,,the lightning lord,beric dondarrion
272,580,bernarr,M,D,,bernarr,,,brown bernarr,bernarr
273,979,bernarr,M,A,,bernarr,,,black bernarr,bernarr
274,1956,beron,M,A,,beron,,,serjeant for house dustin,beron
275,1418,beron blacktyde,M,A,,beron,blacktyde,,blind beron,beron blacktyde
276,1692,beron blacktyde,M,A,,beron,blacktyde,,blind beron blacktyde,beron blacktyde
277,717,beron stark,M,D,Lord,beron,stark,,,beron stark
278,1187,bertram beesbury,M,A,Ser,bertram,beesbury,,,bertram beesbury
279,2101,bess bracken,F,A,,bess,bracken,,,bess bracken
280,204,bessa,F,D,,bessa,,,,bessa
281,912,bessa,F,D,,bessa,,,of hag's mire,bessa
282,1184,bessa,F,F,,bessa,,,the barmaid,bessa
283,59,beth cassel,F,A,,beth,cassel,,,beth cassel
284,1018,bethany,F,A,,bethany,,,fair-fingers,bethany
285,1604,bethany,F,A,,bethany,,,blushing bethany,bethany
286,1989,bethany blackwood,F,A,,bethany,blackwood,,,bethany blackwood
287,2092,bethany bolton,F,D,Lady,bethany,bolton,ryswell,,bethany bolton
288,878,bethany frey,F,D,Lady,bethany,frey,rosby,,bethany frey
289,345,bethany rowan,F,A,,bethany,rowan,redwyne,,bethany rowan
290,836,betharios frey,F,A,,betharios,frey,,of braavos,betharios frey
291,2061,bhakaz,M,A,,bhakaz,,,,bhakaz
292,1110,big boil,M,A,,big boil,,,,big boil
293,2351,bigglestone,M,H,Lord,?,bigglestone,,,bigglestone
294,1037,bill,M,D,,bill,,,muttering bill,bill
295,1860,bill bone,M,A,,bill,bone,,old bill bone,bill bone
296,2396,billy burley,M,H,,billy,burley,,,billy burley
297,480,biter,M,D,,biter,,,,biter
298,1793,black fist,M,D,,black fist,,,,black fist
299,1937,black knife,?,A,,black knife,,,,black knife
300,1210,blackshield,M,U,,?,,,blackshield/the bastard of uplands,blackshield/the bastard of uplands
301,2275,blackwood,M,H,Lord,?,blackwood,,during the second blackfyre rebellion,blackwood
302,2424,blackwood,M,H,Lord,?,blackwood,,in 112 ac,blackwood
303,901,blane,M,U,,blane,,,,blane
304,2323,blood,M,H,,?,,,blood,blood
305,1868,bloodbeard,M,A,,bloodbeard,,,,bloodbeard
306,589,bluetooth,M,A,,bluetooth,,,,bluetooth
307,1116,bodger,M,D,,bodger,,,,bodger
308,2051,bokkoko,M,A,,bokkoko,,,,bokkoko
309,701,bonifer hasty,M,A,Ser,bonifer,hasty,,the good,bonifer hasty
310,1867,books,M,A,,books,,,,books
311,258,borcas,M,A,,borcas,,,,borcas
312,2307,boremund baratheon,M,H,Lord,boremund,baratheon,,,boremund baratheon
313,1408,boremund harlaw,M,A,,boremund,harlaw,,the blue,boremund harlaw
314,69,boros blount,M,A,Ser,boros,blount,,,boros blount
315,2321,borrell,M,H,Lord,?,borrell,,of the blacks,borrell
316,1746,borroq,M,A,,borroq,,,,borroq
317,2308,borros baratheon,M,H,Lord,borros,baratheon,,,borros baratheon
318,1634,bors,M,A,,bors,,,,bors
319,116,bowen marsh,M,A,,bowen,marsh,,,bowen marsh
320,2210,bracken,M,H,Lord,?,bracken,,during king daeron ii's reign,bracken
321,2423,bracken,M,H,Lord,?,bracken,,in 112 ac,bracken
322,839,bradamar frey,M,A,,bradamar,frey,,,bradamar frey
323,1958,brandon norrey,M,A,Lord,brandon,norrey,,the norrey,brandon norrey
324,2093,brandon norrey,M,A,,brandon,norrey,,the younger,brandon norrey
325,3,brandon stark,M,A,,brandon,stark,,bran,brandon stark
326,18,brandon stark,M,D,,brandon,stark,,the builder,brandon stark
327,55,brandon stark,M,D,,brandon,stark,,brother of eddard,brandon stark
328,334,brandon stark,M,D,King,brandon,stark,,the shipwright,brandon stark
329,335,brandon stark,M,D,King,brandon,stark,,the burner,brandon stark
330,681,brandon stark,M,D,Lord,brandon,stark,,the daughterless,brandon stark
331,724,brandon stark,M,D,King,brandon,stark,,the bad,brandon stark
332,1917,brandon stark,M,D,,brandon,stark,,ice eyes,brandon stark
333,743,brandon tallhart,M,A,,brandon,tallhart,,,brandon tallhart
334,1721,branston cuy,M,A,Lord,branston,cuy,,,branston cuy
335,1588,brea,F,A,,brea,,,,brea
336,1182,brella,F,A,,brella,,,,brella
337,2031,brendel byrne,M,A,Ser,brendel,byrne,,,brendel byrne
338,1747,briar,M,U,,briar,,,,briar
339,564,brienne tarth,F,A,,brienne,tarth,,brienne of tarth,brienne tarth
340,2024,brogg,M,A,,brogg,,,,brogg
341,182,bronn,M,A,,bronn,,,,bronn
342,1575,brother clement,M,D,Brother,clement,,,,brother clement
343,1573,brother gillam,M,A,Brother,gillam,,,,brother gillam
344,1572,brother narbert,M,A,Brother,narbert,,,,brother narbert
345,1574,brother rawney,M,A,Brother,rawney,,,,brother rawney
346,1971,brus buckler,M,A,Ser,brus,buckler,,,brus buckler
347,1531,brusco,M,A,,brusco,,,,brusco
348,655,bryan fossoway,M,D,Ser,bryan,fossoway,,,bryan fossoway
349,796,bryan frey,M,A,,bryan,frey,,,bryan frey
350,163,bryce caron,M,D,Lord,bryce,caron,,,bryce caron
351,1214,bryen,M,A,,bryen,,,,bryen
352,505,bryen farring,M,D,,bryen,farring,,,bryen farring
353,1992,brynden blackwood,M,A,,brynden,blackwood,,,brynden blackwood
354,27,brynden tully,M,A,Ser,brynden,tully,,blackfish,brynden tully
355,2365,bryndon hightower,M,H,Ser,bryndon,hightower,,,bryndon hightower
356,2252,buford bulmer,M,H,Ser,buford,bulmer,,also named theomore,buford bulmer
357,1745,bump,M,D,,bump,,,,bump
358,492,burton crakehall,M,D,Ser,burton,crakehall,,,burton crakehall
359,2009,burton humble,M,A,,burton,humble,,,burton humble
360,750,butterbumps,M,A,,butterbumps,,,,butterbumps
361,1838,butts,M,A,,butts,,,,butts
362,329,buu,?,U,,buu,,,,buu
363,1025,byam flint,M,D,Ser,byam,flint,,,byam flint
364,2226,byren flowers,M,H,,byren,flowers,,black byren,byren flowers
365,1650,byron,M,A,Ser,byron,,,the beautiful,byron
366,1778,byron swann,M,D,Ser,byron,swann,,,byron swann
367,686,cadwyl,M,U,,cadwyl,,,,cadwyl
368,1242,cadwyle,M,A,,cadwyle,,,,cadwyle
369,669,cadwyn,M,A,Ser,cadwyn,,,,cadwyn
370,1074,cafferen,M,D,Lord,?,cafferen,,,cafferen
371,1863,caggo,M,A,,caggo,,,,caggo
372,470,calon,M,U,,calon,,,,calon
373,557,calor,M,U,,calor,,,,calor
374,1803,camarron,M,D,,camarron,,,of the count,camarron
375,2039,canty,M,A,,canty,,,man-at-arms in stannis' army,canty
376,417,captain areo hotah,M,A,Captain,areo,hotah,,,captain areo hotah
377,278,captain byan votyris,M,A,Captain,byan,votyris,,,captain byan votyris
378,940,captain groleo,M,D,Captain,groleo,,,,captain groleo
379,749,captain igon vyrwel,M,A,Captain,igon,vyrwel,,,captain igon vyrwel
380,1591,captain moredo prestayn,M,A,Captain,moredo,prestayn,,,captain moredo prestayn
381,101,captain moreo tumitis,M,A,Captain,moreo,tumitis,,,captain moreo tumitis
382,255,captain qos,M,A,Captain,qos,,,,captain qos
383,607,captain quhuru mo,M,A,Captain,quhuru,mo,,,captain quhuru mo
384,2419,captain racallio ryndoon,M,H,Captain,racallio,ryndoon,,,captain racallio ryndoon
385,1382,captain ternesio terys,M,A,Captain,ternesio,terys,,,captain ternesio terys
386,455,captain vylarr,M,A,Captain,vylarr,,,,captain vylarr
387,993,carellen smallwood,F,A,,carellen,smallwood,,,carellen smallwood
388,848,carolei frey,F,A,,carolei,frey,waynwood,,carolei frey
389,1649,carrot,M,A,,carrot,,,,carrot
390,2080,casper wylde,M,A,Lord,casper,wylde,,,casper wylde
391,2116,caspor hill,M,A,,caspor,hill,,,caspor hill
392,1009,cass,F,A,,cass,,,,cass
393,508,cassana baratheon,F,D,Lady,cassana,baratheon,estermont,,cassana baratheon
394,2199,cassella vaith,F,H,Lady,cassella,vaith,,,cassella vaith
395,1820,casso mogat,M,A,,casso,mogat,,,casso mogat
396,2100,catelyn bracken,F,A,,catelyn,bracken,,,catelyn bracken
397,17,catelyn stark,F,D,Lady,catelyn,stark,tully,,catelyn stark
398,180,cayn,M,D,,cayn,,,,cayn
399,1638,cedra,F,A,,cedra,,,,cedra
400,1446,cedric payne,M,D,Ser,cedric,payne,,,cedric payne
401,1206,cedrik storm,M,D,,cedrik,storm,,bastard of bronzegate,cedrik storm
